a	一个
straightforwardly	直截了当地
straightforwardness	直接性
straightjacket	紧身衣
straightjacketed	受到束缚的
straightjacketing	限制
straightness	直线
strain	拉紧
strainer	滤网
straining	过滤
strait	海峡
straiten	限制
straitjacket	紧身衣
straitjacketed	受到束缚的
straitjacketing	限制
strake	船板
strand	股
strange	奇怪的
strangely	奇怪地
strangeness	奇怪
stranger	陌生人
strangle	勒死
stranglehold	压制
strangler	勒死者
strangling	勒死
strangulate	勒死
strangulation	勒死
strap	带子
straphanger	站着的乘客
strapless	无肩带的
strappado	绑架
strapper	健壮的人
stratagem	计谋
strategic	战略的
strategically	战略上
strategist	战略家
strategy	战略
stratification	分层
stratify	分层
stratigraphy	地层学
stratocracy	军政府
stratosphere	平流层
stratum	地层
stratus	层云
straw	稻草
strawberry	草莓
strawboard	纸板
strawflower	稻草花
strawworm	红线虫
stray	走失的
strayer	走失者
streak	条纹
streaker	裸奔者
streaky	有条纹的
stream	溪流
streambed	河床
streamer	飘带
streaming	流媒体
streamlet	小溪
streamline	流线型
streamliner	高速列车
street	街道
streetcar	有轨电车
streetlight	路灯
streetwalk	徘徊街头
streetwalker	街头女郎
streetwise	精明的
strelitzia	鹤望兰
strength	力量
strengthen	加强
strengthener	强化剂
strengthening	加强的
strenuosity	坚决
strenuous	费力的
strenuously	费力地
strenuousness	费力
strep	链球菌
streptocarpus	链果花
streptococcal	链球菌的
streptococci	链球菌
streptococcus	链球菌
streptodornase	链球菌溶酶酶
streptokinase	链激酶
streptolysin	链溶血素
streptomycin	链霉素
streptosolen	链藤
streptothricin	链霉素
stress	压力
stressful	有压力的
stressor	压力源
stretch	拉伸
stretchability	可伸缩性
stretcher	担架
stretchiness	弹性
stretchy	有弹性的
streusel	糖渣饼
strew	撒
strewing	撒播
stria	条纹
striate	加条纹
striation	条纹
striatum	纹状体
stricken	受折磨的
strickle	滑板
strict	严格的
strictly	严格地
strictness	严格
stricture	约束
stride	大步走
stridence	刺耳
stridency	刺耳
strident	刺耳的
stridently	刺耳地
strider	步行者
stridor	喘鸣声
stridulate	发出刺耳声
stridulation	刺耳声
strife	冲突
strike	打击
strikebreaker	罢工破坏者
strikebreaking	破坏罢工
strikeout	击球三振
striker	罢工者
striking	引人注目的
strikingly	显著地
strikingness	显著性
string	绳子
stringency	严格
stringent	严格的
stringently	严格地
stringer	支撑物
stringy	有韧性的
stringybark	红桉皮
strip	剥去
stripe	条纹
striper	鲈鱼
striping	条纹化
stripling	小伙子
stripper	脱衣舞者
stripping	脱衣
stript	脱衣
striptease	脱衣舞
stripteased	被脱衣
stripteaser	脱衣舞者
stripteasing	脱衣舞
stripy	条纹的
strive	努力
striver	奋斗者
striving	奋斗
strobe	闪光灯
strobile	松果
strobilus	松果
stroboscope	闪光灯
stroke	中风
stroking	抚摸
stroll	散步
stroller	婴儿车
stroma	基质
strombus	海螺
strong	强壮的
strongbox	保险箱
stronghold	要塞
strongly	强烈地
strongman	强人
strongroom	保险库
strontianite	方解石
strontium	锶
strop	砂皮
strophanthin	异厚朴甙
strophanthus	异厚朴属植物
strophe	抒情诗
stroppy	易怒的
structural	结构的
structuralism	结构主义
structuralist	结构主义者
structurally	结构上
structure	结构
strudel	馅饼
struggle	斗争
struggler	斗争者
strum	弹奏
struma	甲状腺肿
strumpet	妓女
strut	昂首阔步
strychnine	马钱子碱
stub	断株
stubbier	更矮胖的
stubbiest	最矮胖的
stubbiness	短而粗壮
stubble	胡茬
stubblier	更短而粗壮的
stubbliest	最短而粗壮的
stubbly	短而粗壮的
stubborn	固执的
stubbornly	固执地
stubbornness	固执
stubby	短而粗壮的
stucco	石灰外墙
stud	装饰钮扣
studbook	公牛繁殖记录册
student	学生
studentship	学生身份
studhorse	种马
studio	工作室
studious	勤奋的
studiously	用心地
studiousness	勤奋
study	学习
stuff	填充物
stuffer	填充者
stuffily	闷热地
stuffiness	闷热
stuffing	填充物
stuffy	闷热的
stultification	使变得荒谬可笑
stultify	使变得荒谬可笑
stumble	绊倒
stumblebum	醉汉
stumbler	绊脚石
stump	树桩
stumper	难题
stumpy	矮胖的
stun	使震惊
stunner	极美的人或物
stunningly	令人惊叹地
stunt	特技
stuntedness	发育不良
stupa	佛塔
stupe	使麻醉
stupefaction	麻醉状态
stupefy	使麻醉
stupendous	巨大的
stupendously	极其地
stupid	愚蠢的
stupidity	愚蠢
stupidly	愚蠢地
stupor	昏迷状态
sturdily	坚定地
sturdiness	坚固性
sturdy	坚固的
sturgeon	鲟鱼
sturnus	椋鸟
stutter	口吃
stutterer	口吃者
sty	猪圈
stye	眼疾
style	风格
styler	设计师
stylet	针状物
stylish	时尚的
stylishly	时尚地
stylishness	时尚
stylist	设计师
stylistic	风格的
stylistically	风格上
stylite	隐士
stylization	风格化
stylize	风格化
stylopodium	枝底
stylus	笔尖
stymie	阻碍
stymy	阻碍
stypsis	洗涤
styptic	止血剂
styrax	安息香
styrene	苯乙烯
styrofoam	聚苯乙烯泡沫
suasion	劝说
suave	和蔼的
suavely	和蔼地
suaveness	和蔼
suavity	文雅
sub	次级的
subaltern	下级的
subatomic	亚原子的
subbase	下底
subbasement	地下室
subbasements	地下室
subclass	子类
subcommittee	委员会
subcompact	小型车
subconscious	潜意识的
subconsciously	潜意识地
subconsciousness	潜意识
subcontinent	次大陆
subcontract	分包
subcontractor	分包商
subculture	亚文化
subcutaneous	皮下的
subdeacon	副执事
subdirectory	子目录
subdivide	细分
subdivider	细分器
subdivision	细分
subdominant	副主音
subduction	俯冲
subdue	征服
subduedness	被制伏
subduer	制伏者
subedit	副编辑
subeditor	副编辑
subfamily	亚科
subfigure	子图
subgenus	亚属
subgroup	子群
subhead	副标题
subheading	副标题
subhuman	亚人类的
subhumans	亚人类
subject	主题
subjection	征服
subjective	主观的
subjectively	主观地
subjectiveness	主观性
subjectivism	主观主义
subjectivist	主观主义者
subjectivity	主观性
subjoin	附加
subjugate	征服
subjugation	征服
subjugator	征服者
subjunction	附加
subjunctive	虚拟语气
subkingdom	亚界
sublease	转租
sublet	转租
sublieutenant	副中尉
sublimate	升华
sublimation	升华
sublime	崇高的
sublimely	崇高地
subliminal	下意识的
subliminally	下意识地
sublimity	崇高
subluxation	半脱位
submarine	潜水艇
submariner	潜水员
submediant	副中音
submenu	子菜单
submerge	浸没
submergence	淹没
submerse	浸泡
submersible	潜水的
submersion	浸没
submission	提交
submissive	顺从的
submissiveness	顺从
submit	提交
submitter	提交者
submucosa	粘膜下层
subnormal	亚正常的
subnormality	亚正常
suborbital	轨道下的
suborder	亚目
subordinate	下属
subordinateness	下级
subordination	从属关系
suborn	收买
subornation	收买
suborner	收买者
subpart	子部分
subphylum	亚门
subplot	子情节
subplots	子图
subpoena	传票
subpopulation	亚种群
subprogram	子程序
subrogate	代位
subrogation	代位权
subroutine	子程序
subscribe	订阅
subscriber	订户
subscript	下标
subscription	订阅
subsection	子节
subsequence	子序列
subsequent	随后的
subsequently	随后
subserve	为...服务
subservience	从属
subservient	屈从的
subset	子集
subshrub	亚灌木
subside	下陷
subsidence	下沉
subsidiarity	辅助原则
subsidiary	子公司
subsidization	资助
subsidize	补贴
subsidizer	补贴者
subsidy	补贴
subsist	生存
subsistence	生存
subsister	幸存者
subsoil	底土
subsonic	亚音速的
subspace	子空间
substance	物质
substandard	不达标准的
substantial	实质的
substantiality	实质性
substantially	实质上
substantialness	实质性
substantiate	证实
substantiation	证实
substantive	实质性的
substation	变电站
substitutability	可替代性
substitute	替代品
substitution	替代
substrata	基质
substrate	基质
substratum	基质
substring	子串
substructure	下部结构
subsume	包含
subsumption	包含
subsystem	子系统
subteen	十几岁的少年
subteens	十几岁的少年
subtend	张角
subterfuge	诡计
subterranean	地下的
subtilin	亚硝基蒽醌
subtilize	使微妙化
subtitle	字幕
subtle	微妙的
subtlety	微妙
subtly	微妙地
subtonic	亚主音
subtopia	次优秀的地区
subtotal	小计
subtotaled	求小计
subtotaling	求小计
subtotalled	求小计
subtotalling	求小计
subtract	减去
subtracter	减数
subtraction	减法
subtrahend	被减数
subtreasury	分库
subtropical	亚热带的
subunit	子单位
suburb	郊区
suburban	郊区的
suburbanite	郊区居民
suburbanize	使郊区化
suburbans	郊区的
suburbia	郊区
subvention	补助金
subversion	颠覆
subversive	颠覆性的
subversiveness	颠覆性
subvert	颠覆
subverter	颠覆者
subvocalize	半声地说
subway	地铁
subwoofer	低音扬声器
succade	柠檬皮
succedaneum	代用品
succeed	成功
succeeder	成功者
success	成功
successful	成功的
successfully	成功地
successfulness	成功
succession	继任
successive	连续的
successively	连续地
successiveness	连续性
successor	继任者
succinct	简洁的
succinctly	简洁地
succinctness	简洁
succinylcholine	琥珀酰胆碱
succor	援助
succorer	援助者
succory	红苦菜
succotash	玉米炖菜
succuba	魔女
succubus	魔女
succulence	多汁
succulency	多汁
succulent	多汁的
succumb	屈服
succus	汁液
succuss	震动
succussion	震动
such	这样的
suchlike	类似的
suck	吸
sucker	吸盘
suckered	上当受骗的
suckerfish	鲇鱼
suckering	欺骗
sucking	吸吮
suckle	哺乳
suckling	乳儿
sucralfate	舒腹宁
sucrase	蔗糖酶
sucre	糖
sucrose	蔗糖
suction	吸力
sudate	出汗
sudation	出汗
sudatorium	蒸汽浴室
sudatory	出汗的
sudden	突然的
suddenly	突然地
suddenness	突然
sudor	汗水
sudorific	发汗的
suds	泡沫
sudsier	更多泡沫的
sudsiest	最多泡沫的
sudsy	有泡沫的
sue	控告
suede	绒面革
suer	原告
suet	牛油
suffer	受苦
sufferance	容忍
sufferer	受难者
suffering	痛苦
suffice	足够
sufficiency	充足
sufficient	充足的
sufficiently	充分地
suffix	后缀
suffixation	后缀添加
suffocate	窒息
suffocation	窒息
suffragan	主教助理
suffrage	选举权
suffragette	妇女选举权论者
suffragism	妇女选举权主义
suffragist	妇女选举权论者
suffuse	弥漫
suffusion	弥漫
sugar	糖
sugarberry	糖浆果
sugarcane	甘蔗
sugarcoat	糖衣
sugarier	更甜的
sugariest	最甜的
sugariness	甜味
sugarless	无糖的
sugarloaf	糖锥
sugarplum	糖果
sugary	甜的
suggest	建议
suggester	建议者
suggestibility	易受建议性
suggestible	易受建议的
suggestion	建议
suggestive	暗示的
suggestively	暗示地
sugi	杉木
suicidal	自杀的
suicide	自杀
suit	适合
suitability	适合性
suitable	适合的
suitableness	适合性
suitably	适当地
suitcase	手提箱
suite	套房
suiting	适合的
suitor	求婚者
sukiyaki	日式火锅
sulcus	沟
sulfa	磺胺
sulfacetamide	磺胺乙酰胺
sulfadiazine	磺胺嘧啶
sulfamethoxazole	磺胺甲氧苄啶
sulfanilamide	磺胺甲酰胺
sulfate	硫酸盐
sulfide	硫化物
sulfonamide	磺胺类药物
sulfonate	磺酸盐
sulfonylurea	磺酰脲
sulfur	硫磺
sulfurette	硫磺
sulfuric	硫酸的
sulfurous	含硫的
sulk	生气
sulkily	生气地
sulkiness	生气
sulky	暴躁的
sullen	闷闷不乐的
sullenly	闷闷不乐地
sullenness	闷闷不乐
sully	玷污
sulpha	磺胺
sulphur	硫磺
sulphurous	含硫磺的
sultan	苏丹
sultana	无核葡萄干
sultanate	苏丹国
sultriness	闷热
sultry	闷热的
sum	总数
sumac	木酚
sumach	无患子属植物
sumatra	苏门答腊岛
sumatran	苏门答腊岛的
summarily	概括地
summarization	概括
summarize	概括
summary	摘要
summate	求和
summation	总和
summer	夏季
summerhouse	避暑别墅
summerier	更夏季的
summeriest	最夏季的
summersault	空翻
summerset	空翻
summertime	夏季
summery	夏季的
summit	顶峰
summitry	峰会
summon	召唤
summoner	召唤者
summoners	召唤者
summoning	召唤
summons	传票
sumo	相扑
sump	池
sumpsimus	重获自由
sumpter	驮马
sumptuosity	华丽
sumptuous	华丽的
sumptuousness	华丽
sun	太阳
sunbathe	晒太阳
sunbather	晒太阳的人
sunbeam	阳光
sunbelt	阳带
sunberry	太阳浆果
sunblind	遮阳百叶窗
sunblock	防晒霜
sunbonnet	遮阳帽
sunburn	晒伤
sunburnt	晒黑的
sunburst	日冕
sunchoke	地下菊
sundae	圣代
sunday	星期天
sunder	分裂
sundew	茅膏菜
sundial	日晷
sundog	日晕
sundown	日落
sundowner	日落时的饮料
sundress	阳光裙
sundries	零碎物品
sundry	各种各样的
sunfish	鲈鱼
sunflower	向日葵
sunglass	太阳镜
sunhat	防晒帽
sunlamp	日光灯
sunless	无阳光的
sunlight	阳光
sunlit	阳光照射的
sunna	逊尼派
sunnah	逊尼派
sunniness	晴朗
sunny	晴朗的
sunporch	阳光门廊
sunray	阳光射线
sunrise	日出
sunroof	天窗
sunroom	阳光房
sunscreen	防晒霜
sunset	日落
sunshade	遮阳篷
sunshine	阳光
sunspot	太阳黑子
sunstone	日长石
sunstroke	中暑
sunsuit	防晒服
suntan	晒黑
suntanned	晒黑的
suntanning	晒太阳
suntrap	阳光陷阱
sunup	日出
sup	补给
super	超级的
superabundance	过剩
superabundant	过剩的
superannuate	退休
superannuation	养老金
superb	极好的
superbia	傲慢
superbly	极好地
superbug	超级细菌
supercargo	船上代理人
supercede	取代
supercharge	超级充电
supercharger	增压器
supercilious	目中无人的
superciliousness	目中无人
superclass	超类
supercomputer	超级计算机
superconductivity	超导性
superconductor	超导体
superconductors	超导体
superego	超我
supererogation	超额履行
superfamily	超科
superfecta	超级完美
superfecundation	超级受孕
superfetate	超级受孕
superfetation	超级受孕
superficial	肤浅的
superficiality	肤浅
superficially	表面上
superfluity	过剩
superfluous	过剩的
superfund	超级基金
supergiant	超级巨星
supergrass	超级草
superhet	超外差接收机
superhighway	超级高速公路
superhuman	超人的
superimpose	叠加
superinfect	超级感染
superinfection	超级感染
superintend	监督
superintendence	监督
superintendency	监管
superintendent	监督者
superior	优秀的
superiority	优越性
superlative	最高级的
superlatively	极其
superman	超人
supermarket	超市
supermodel	超模
supermom	超级妈妈
supernatant	上清液
supernatural	超自然
supernaturalism	超自然主义
supernaturalness	超自然性
supernova	超新星
supernumerary	超数
superorder	超目
superordinate	上位
superordination	上位关系
superoxide	超氧化物
superpatriotism	超级爱国主义
superphylum	超门
superpose	叠加
superposition	叠加
superpower	超能力
superscribe	加注
superscript	上标
superscription	题字
supersede	取代
supersedure	取代
supersession	取代
supersonic	超音速
superstar	超级明星
superstition	迷信
superstitious	迷信的
superstitiously	迷信地
superstratum	上层
superstring	超弦
superstructure	上层建筑
supersymmetry	超对称性
supertanker	超级油轮
supertax	超税
supertitle	字幕
supertonic	上主音
supervene	发生
supervention	干预
supervise	监督
supervision	监督
supervisor	监督者
supervisory	监督的
supinate	掌屈
supination	掌屈
supinator	掌屈肌
supine	仰卧
supper	晚餐
suppertime	晚餐时间
supplant	取代
supplanter	篡夺者
supple	柔软的
supplejack	柔韧的木本植物
supplement	补充
supplemental	补充的
supplementary	附加的
supplementation	补充
suppleness	柔软
suppliant	恳求的
supplicant	恳求者
supplicate	恳求
supplication	恳求
supplier	供应商
supply	供应
support	支持
supportable	可支持的
supporter	支持者
supporting	支持的
supportive	支持的
supposal	假定
suppose	假设
supposedly	据说
supposition	假设
suppository	栓剂
suppress	抑制
suppressant	抑制剂
suppresser	抑制者
suppression	抑制
suppressor	抑制者
suppurate	化脓
suppuration	化脓
supranational	超国家的
supremacism	至上主义
supremacist	至上主义者
supremacy	至上性
suprematism	极致主义
suprematist	极致主义者
supreme	至高的
supremely	极其
supremo	首领
sura	古兰经的章节
surbase	基座
surcease	停止
surceased	停止
surceasing	停止
surcharge	过高收费
surcoat	外套
surd	无声的
sure	确定的
surefire	确定无疑
surefooted	脚踏实地
surely	确定地
sureness	确定性
surety	担保
surf	冲浪
surface	表面
surfacing	铺面
surfactant	表面活性剂
surfbird	海鸟
surfboard	冲浪板
surfboarder	冲浪者
surfboarding	冲浪运动
surfboat	冲浪船
surfeit	过量
surfer	冲浪者
surffish	冲浪鱼
surfing	冲浪
surfperch	冲浪鲈
surge	汹涌
surgeon	外科医生
surgeonfish	外科医生鱼
surgery	外科手术
surgical	外科的
surgically	外科手术上
suricate	狐獴
surliness	粗暴
surly	脾气坏的
surmisal	推测
surmise	推测
surmount	克服
surmountable	可克服的
surmounter	克服者
surmullet	红鲻鱼
surname	姓氏
surpass	超过
surplice	教堂法衣
surplus	过剩
surplusage	多余
surplused	多余的
surplusing	多余的
surplussed	多余的
surplussing	多余的
surprint	附加印刷
surprisal	惊奇
surprise	惊喜
surpriser	使人惊奇的人
surprisingly	令人惊讶地
surprisingness	令人惊讶的特性
surreal	超现实的
surrealism	超现实主义
surrealist	超现实主义者
surrealistic	超现实主义的
surrebuttal	反驳
surrebutter	反驳者
surrejoinder	答辩
surrender	投降
surrenderer	投降者
surreptitious	鬼鬼祟祟的
surreptitiously	鬼鬼祟祟地
surrey	乘马车旅行
surrogate	代理人
surround	包围
surtax	附加税
surtitle	副标题
surtout	外套
surveil	监视
surveillance	监视
survey	调查
surveying	测量
surveyor	测量员
survival	生存
survivalist	生存主义者
survive	生存
survivor	幸存者
susceptibility	易感性
susceptible	易受影响的
susceptibleness	易感性
sushi	寿司
suslik	土拨鼠
suspect	怀疑
suspend	暂停
suspender	吊带
suspense	悬念
suspenseful	令人悬念的
suspension	悬挂
suspensor	悬挂物
suspensory	悬挂的
suspicion	怀疑
suspicious	可疑的
suspiciously	可疑地
suspiciousness	怀疑
suspiration	叹息
suspire	叹息
sustain	维持
sustainability	可持续性
sustainable	可持续的
sustainer	维持者
sustainment	维持
sustenance	生计
sustentation	养活
susurrate	低语
susurration	低语声
susurrus	低语声
sutler	军需商
sutra	经文
suttee	寡妇自焚
suture	缝合
suzerain	宗主国
suzerainty	宗主权
svedberg	斯韦德伯格
svelte	苗条的
swab	拖把
swad	婴儿
swaddle	用布包裹
swag	赃物
swage	成形
swagger	大摇大摆地走
swaggerer	自命不凡的人
swaggie	澳大利亚流浪汉
swagman	澳大利亚流浪汉
swain	乡下人
swale	沟壑
swallow	燕子
swallowtail	燕尾服
swallowwort	燕子草
swami	印度教教士
swamp	沼泽
swampier	沼泽地
swampiest	最沼泽的
swampland	沼泽地
swampy	沼泽的
swan	天鹅
swank	炫耀
swanky	时髦的
swap	交换
sward	草地
swarm	蜂群
swarthiness	黝黑
swarthy	黝黑的
swash	拍打声
swashbuckler	挥剑大侠
swashbuckling	挥剑的
swastika	卍字
swat	拍打
swatch	样品
swath	刈割
swathe	包裹
swatter	打蚊子的器具
sway	摇摆
swaybacked	驼背的
swayer	摇摆者
swear	发誓
swearer	骂人的人
swearing	诅咒
swearword	脏话
sweat	汗水
sweatband	头带
sweatbox	蒸汽浴室
sweater	毛衣
sweatier	更加出汗的
sweatiest	最出汗的
sweating	出汗
sweatpants	运动裤
sweatshirt	运动衫
sweatshop	血汗工厂
sweatsuit	运动服
sweaty	出汗的
swede	瑞典人
sweep	扫
sweeper	扫地机
sweeping	彻底的
sweepstake	彩票
sweepstakes	抽奖
sweet	甜的
sweetbread	胰脏
sweetbriar	香蔷薇
sweetbrier	香蔷薇
sweeten	使变甜
sweetener	甜味剂
sweetening	甜味化
sweetheart	心爱的人
sweetie	甜食
sweetish	有点甜的
sweetly	甜蜜地
sweetmeat	糖果
sweetness	甜味
sweetpea	甜豌豆
sweetsop	糖果果
swell	膨胀
swellhead	自大的人
swellheaded	自大的
swelling	肿胀
swelter	中暑
swerve	突然转向
swerving	突然转向
swift	迅速的
swiftlet	金丝燕
swiftly	迅速地
swiftness	迅速
swig	啜饮
swill	喝
swilling	冲洗
swim	游泳
swimmer	游泳者
swimmeret	游泳脚
swimming	游泳
swimsuit	泳衣
swimwear	游泳服
swindle	欺骗
swindler	骗子
swine	猪
swineherd	猪倌
swing	摇摆
swinge	猛击
swinger	摇摆者
swinging	摇摆的
swingletree	摇杆
swinish	猪一样的
swipe	挥击
swirl	旋转
swirlier	更旋转的
swirliest	最旋转的
swirly	旋转的
swish	嗖嗖声
swiss	瑞士的
switch	开关
switchable	可切换的
switchback	转弯道
switchbacks	转弯道
switchblade	折叠刀
switchboard	交换机
switcher	转换器
switcheroo	交换
switching	切换
switchman	转换员
swither	犹豫
swivel	旋转
swivet	慌乱
swizzle	搅拌
swoon	昏厥
swoop	猛扑
swoosh	呼啸声
swop	交换
sword	剑
swordfish	旗鱼
swordplay	剑术
swordsman	剑客
swordsmanship	剑术
swordtail	剑尾鱼
swot	用功读书
sybarite	奢侈享乐者
sybaritic	奢侈逸乐的
sycamore	榆树
syconium	焦果
sycophancy	阿谀奉承
sycophant	马屁精
sycophantic	奉承的
syllabary	音节表
syllabic	音节的
syllabicate	分成音节
syllabication	音节划分
syllabicity	音节性
syllabification	音节化
syllabify	分成音节
syllabize	音节化
syllable	音节
syllabub	奶油酒
syllabus	教学大纲
syllepsis	修辞格
syllogism	演绎法
syllogist	演绎法研究者
syllogistic	演绎法的
syllogize	演绎
syllogizer	演绎者
sylph	空气精灵
sylva	林地
sylvan	森林的
sylvanite	金银矿
sylvine	氯化钾矿
sylvite	氯化钾
symbioses	共生关系
symbiosis	共生
symbiotic	共生的
symbol	符号
symbolic	象征性的
symbolically	象征地
symbolism	象征主义
symbolist	象征主义者
symbolization	符号化
symbolize	象征
symbolizer	符号化者
symbology	符号学
symbololatry	崇拜符号
symmetric	对称的
symmetrical	对称的
symmetrically	对称地
symmetricalness	对称性
symmetricly	对称地
symmetrize	使对称
symmetry	对称
sympathectomy	交感神经切除术
sympathetic	同情的
sympathetically	同情地
sympathize	同情
sympathizer	同情者
sympathy	同情
sympatry	共生
symphonic	交响的
symphonist	交响乐作曲家
symphonize	使成交响乐
symphony	交响乐
symphysis	联合
symploce	交叠修辞
symposiarch	宴会主持人
symposiast	宴会参与者
symposium	座谈会
symptom	症状
symptomatic	症状的
synagog	犹太教堂
synagogs	犹太教堂
synagogue	犹太教堂
synapse	突触
synapsid	合弓类动物
synapsis	同源染色体配对
sync	同步
syncarp	合果
synch	同步
synched	同步
synches	同步
synching	同步
synchro	同步
synchrocyclotron	同步回旋加速器
synchroflash	同步闪光
synchromesh	同步器
synchroneity	同步性
synchronicity	同步性
synchronism	同步
synchronization	同步
synchronize	同步
synchronizer	同步器
synchronous	同步的
synchronously	同步地
synchrony	同步
synchroscope	同步仪
synchrotron	同步加速器
synchs	同步
syncopate	减拍
syncopation	减拍
syncopator	减拍者
syncope	晕厥
syncretism	求同存异
syncretize	合并
syncytium	合胞体
syndactylism	联指症
syndactyly	联指
syndic	行会代表
syndicalism	工团主义
syndicalist	工团主义者
syndicate	财团
syndication	联合发行
syndicator	联合发行人
syndrome	综合症
synecdoche	提喻法
synechia	粘连
synergism	协同作用
synergist	协同肌
synergistic	协同的
synergy	协同作用
synesthesia	通感
synod	教会会议
synonym	同义词
synonymist	同义词学家
synonymity	同义性
synonymous	同义的
synonymousness	同义性
synonymy	同义词
synopsis	梗概
synovia	关节液
synovitis	滑膜炎
syntactic	句法的
syntactical	句法的
syntactically	句法上地
syntagm	语块
syntagma	语块
syntax	句法
synthesis	综合体
synthesist	合成论者
synthesize	合成
synthesizer	合成器
synthetic	合成的
synthetically	合成地
syph	梅毒
syphilis	梅毒
syphilitic	梅毒的
syphon	虹吸管
syrian	叙利亚的
syringa	丁香
syringe	注射器
syrinx	鸟喉管
syrup	糖浆
syrupy	糖浆状的
system	系统
systematic	系统的
systematically	系统地
systematism	系统主义
systematist	系统主义者
systematization	系统化
systematize	系统化
systematizer	系统化者
systemic	系统性的
systemics	系统学
systemize	系统化
systemizer	系统化者
systole	收缩
systolic	收缩的
syzygy	合朔
tab	标签
tabard	外袍
tabbed	用标签标记的
tabbing	标签化
tabbouleh	塔布勒沙拉
tabby	虎斑猫
tabernacle	圣龛
tabi	日本式袜子
tablature	指法谱
table	桌子
tableau	画面
tablecloth	桌布
tableland	高原
tablemate	同桌
tablespoon	汤匙
tablespoonful	一汤匙的量
tablespoonsful	多汤匙的量
tablet	平板
tabletop	桌面
tableware	餐具
tabloid	小报
taboo	禁忌
tabooli	塔布利沙拉
tabor	小手鼓
taboret	小凳
tabu	禁忌
tabued	禁忌的
tabuing	禁忌
tabular	表格的
tabularize	制表
tabulate	制表
tabulation	制表
tabulator	制表者
tabun	塔布因
tacamahac	香脂树脂
tach	短钉
tacheometer	转速计
tachistoscope	闪光瞬间摄影机
tachogram	心动图
tachograph	记录仪
tachometer	转速表
tachycardia	心动过速
tachygraphy	速记术
tachylite	玄武岩玻璃
tachymeter	测速仪
tacit	心照不宣的
tacitly	暗示地
tacitness	心照不宣
taciturn	沉默寡言的
taciturnity	沉默寡言
tack	大头钉
tacker	认真工作的人
tackiness	粘性
tacking	转向
tackle	滑车
tackler	铲球者
tacky	粘的
taco	墨西哥卷饼
taconite	矿物
tact	机智
tactful	圆滑的
tactfully	圆滑地
tactfulness	圆滑
tactic	策略
tactical	战术的
tactically	战术上
tactician	战术家
tactile	触觉的
tactility	触觉
tactless	不机智的
tactlessly	不机智地
tactlessness	不机智
tad	少量
tadpole	蝌蚪
taffeta	绉纱
taffrail	船尾栏杆
taffy	太妃糖
tag	标签
tagalog	塔加洛语
tagalong	跟随者
tagger	涂鸦者
tagliatelle	意大利宽面条
taguan	蝙蝠
tahini	芝麻酱
tahitian	大溪地人
tail	尾巴
tailback	交通堵塞
tailboard	车尾板
tailcoat	燕尾服
tailfin	尾翼
tailgate	尾门
tailgater	尾随者
tailing	尾矿
tailless	无尾的
taillight	尾灯
tailor	裁缝
tailorbird	裁缝鸟
tailoring	裁缝业
tailpiece	尾部装饰
tailpipe	排气管
tailplane	平尾
tailrace	尾水槽
tailspin	螺旋下降
tailstock	尾座
tailwind	顺风
taint	玷污
taipan	大蛇
taira	平野
taka	塔卡
takahe	塔卡赫鸟
take	拿
takeaway	外卖
takedown	摔倒
takeoff	起飞
takeout	外卖
takeover	接管
taker	接受者
takin	大羚牛
taking	进行
tala	塔拉
talapoin	塔拉猴
talbot	塔尔伯特犬
talc	滑石粉
talcum	滑石粉
tale	故事
talebearer	传话人
talent	才能
talented	有才华的
taleteller	说故事的人
talipot	大蒲葵
talisman	护身符
talk	交谈
talkative	健谈的
talkativeness	健谈
talker	说话者
talkie	对讲机
talking	说话
talky	爱说话的
tall	高的
tallboy	高矮柜
tallis	唐式长袍
tallith	犹太教祷告用的披肩
tallness	身材高大
tallow	牛油
tally	计数器
tallyho	追逐时的欢呼声
tallyhoed	追逐时的欢呼声
tallyhoing	追逐时的欢呼声
tallyhos	追逐时的欢呼声
tallyman	记账员
talmud	塔木德
talon	爪
talus	坡
tam	填塞
tamable	可驯服的
tamale	玉米卷饼
tamandu	食蚁兽
tamandua	食蚁树懒
tamanoir	食蚁熊
tamarack	落叶松
tamarao	菲律宾野猪
tamarau	菲律宾野牛
tamarillo	番茄树
tamarin	狨猴
tamarind	罗望子
tamarisk	柽柳
tambac	黄铜
tambala	坦桑尼亚货币
tambour	鼓
tambourine	铃鼓
tame	驯服的
tameable	可驯服的
tamely	温顺地
tameness	温顺
tamer	驯兽师
tammy	帆布
tamoxifen	他莫昔芬
tamp	压实
tamper	篡改
tampering	篡改
tampion	枪套
tampon	卫生棉条
tamponade	停血法
tamponage	卫生棉条
tan	棕色
tanager	红雀
tanbark	树皮
tandem	双人自行车
tandoor	印度烤箱
tang	汤
tanga	塔恩加【坦桑尼亚的一种传统服装】
tangelo	橙子
tangency	切线
tangent	切线
tangential	切线的
tangerine	橘子
tangibility	可感知性
tangible	有形的
tangibleness	有形性
tangibles	有形财产
tangibly	可感知地
tangier	坦吉尔【摩洛哥城市】
tanginess	酸味
tangle	缠结
tango	探戈
tangor	橙子
tangram	七巧板
tangy	刺激的
tank	坦克
tanka	短诗
tankage	储罐容量
tankard	大啤酒杯
tanker	油轮
tankful	一罐的量
tanner	制革工人
tannery	制革厂
tannin	鞣质
tannoy	公共广播系统
tansy	驱虫草
tantalite	钽矿
tantalization	逗弄
